trip_id,arrival_time,departure_time,stop_id,stop_sequence
UP_001,08:05:00,08:05:00,KNAP,1
UP_001,08:10:00,08:10:00,KBAR,2
UP_001,08:15:00,08:15:00,KDSW,3
UP_002,08:20:00,08:20:00,KNAP,1
UP_002,08:25:00,08:25:00,KBAR,2
UP_002,08:30:00,08:30:00,KDSW,3
UP_003,08:32:00,08:32:00,KNAP,1
UP_003,08:37:00,08:37:00,KBAR,2
UP_003,08:42:00,08:42:00,KDSW,3
UP_004,08:00:00,08:00:00,KMUK,1
UP_004,08:02:52,08:02:52,KRSB,2
UP_004,08:05:45,08:05:45,KKHG,3
UP_004,08:08:37,08:08:37,KJDP,4
UP_004,08:11:30,08:11:30,KRSD,5
UP_004,08:14:22,08:14:22,KMID,6
UP_004,08:17:15,08:17:15,KPRS,7
UP_004,08:20:07,08:20:07,KESP,8
UP_004,08:23:00,08:23:00,KCWC,9
UP_004,08:25:52,08:25:52,KCEN,10
UP_004,08:28:45,08:28:45,KMHR,11
UP_004,08:31:37,08:31:37,KGPK,12
UP_004,08:34:30,08:34:30,KSBN,13
UP_004,08:37:22,08:37:22,KSHY,14
UP_004,08:40:15,08:40:15,KBEL,15
UP_004,08:43:07,08:43:07,KDUM,16
UP_004,08:46:00,08:46:00,KNAP,17
UP_004,08:50:00,08:50:00,KBAR,18
UP_004,08:54:00,08:54:00,KDSW,19
UP_005,08:00:00,08:00:00,KSKD,1
UP_005,08:03:12,08:03:12,KKNZ,2
UP_005,08:06:24,08:06:24,KGTN,3
UP_005,08:09:36,08:09:36,KMSN,4
UP_005,08:12:48,08:12:48,KNTJ,5
UP_005,08:16:00,08:16:00,KMUK,6
UP_005,08:18:26,08:18:26,KRSB,7
UP_005,08:20:52,08:20:52,KKHG,8
UP_005,08:23:18,08:23:18,KJDP,9
UP_005,08:25:45,08:25:45,KRSD,10
UP_005,08:28:11,08:28:11,KMID,11
UP_005,08:30:37,08:30:37,KPRS,12
UP_005,08:33:03,08:33:03,KESP,13
UP_005,08:35:30,08:35:30,KCWC,14
UP_005,08:37:56,08:37:56,KCEN,15
UP_005,08:40:22,08:40:22,KMHR,16
UP_005,08:42:48,08:42:48,KGPK,17
UP_005,08:45:15,08:45:15,KSBN,18
UP_005,08:47:41,08:47:41,KSHY,19
UP_005,08:50:07,08:50:07,KBEL,20
UP_005,08:52:33,08:52:33,KDUM,21
UP_005,08:55:00,08:55:00,KNAP,22
UP_005,08:59:00,08:59:00,KBAR,23
UP_005,09:03:00,09:03:00,KDSW,24
UP_006,08:15:00,08:15:00,KSKD,1
UP_006,08:17:36,08:17:36,KKNZ,2
UP_006,08:20:12,08:20:12,KGTN,3
UP_006,08:22:48,08:22:48,KMSN,4
UP_006,08:25:24,08:25:24,KNTJ,5
UP_006,08:28:00,08:28:00,KMUK,6
UP_006,08:30:22,08:30:22,KRSB,7
UP_006,08:32:45,08:32:45,KKHG,8
UP_006,08:35:07,08:35:07,KJDP,9
UP_006,08:37:30,08:37:30,KRSD,10
UP_006,08:39:52,08:39:52,KMID,11
UP_006,08:42:15,08:42:15,KPRS,12
UP_006,08:44:37,08:44:37,KESP,13
UP_006,08:47:00,08:47:00,KCWC,14
UP_006,08:49:22,08:49:22,KCEN,15
UP_006,08:51:45,08:51:45,KMHR,16
UP_006,08:54:07,08:54:07,KGPK,17
UP_006,08:56:30,08:56:30,KSBN,18
UP_006,08:58:52,08:58:52,KSHY,19
UP_006,09:01:15,09:01:15,KBEL,20
UP_006,09:03:37,09:03:37,KDUM,21
UP_006,09:06:00,09:06:00,KNAP,22
UP_006,09:10:00,09:10:00,KBAR,23
UP_006,09:14:00,09:14:00,KDSW,24
UP_007,08:30:00,08:30:00,KSKD,1
UP_007,08:32:36,08:32:36,KKNZ,2
UP_007,08:35:12,08:35:12,KGTN,3
UP_007,08:37:48,08:37:48,KMSN,4
UP_007,08:40:24,08:40:24,KNTJ,5
UP_007,08:43:00,08:43:00,KMUK,6
UP_007,08:45:22,08:45:22,KRSB,7
UP_007,08:47:45,08:47:45,KKHG,8
UP_007,08:50:07,08:50:07,KJDP,9
UP_007,08:52:30,08:52:30,KRSD,10
UP_007,08:54:52,08:54:52,KMID,11
UP_007,08:57:15,08:57:15,KPRS,12
UP_007,08:59:37,08:59:37,KESP,13
UP_007,09:02:00,09:02:00,KCWC,14
UP_007,09:04:22,09:04:22,KCEN,15
UP_007,09:06:45,09:06:45,KMHR,16
UP_007,09:09:07,09:09:07,KGPK,17
UP_007,09:11:30,09:11:30,KSBN,18
UP_007,09:13:52,09:13:52,KSHY,19
UP_007,09:16:15,09:16:15,KBEL,20
UP_007,09:18:37,09:18:37,KDUM,21
UP_007,09:21:00,09:21:00,KNAP,22
UP_007,09:25:00,09:25:00,KBAR,23
UP_007,09:29:00,09:29:00,KDSW,24
UP_008,08:45:00,08:45:00,KSKD,1
UP_008,08:47:36,08:47:36,KKNZ,2
UP_008,08:50:12,08:50:12,KGTN,3
UP_008,08:52:48,08:52:48,KMSN,4
UP_008,08:55:24,08:55:24,KNTJ,5
UP_008,08:58:00,08:58:00,KMUK,6
UP_008,09:00:22,09:00:22,KRSB,7
UP_008,09:02:45,09:02:45,KKHG,8
UP_008,09:05:07,09:05:07,KJDP,9
UP_008,09:07:30,09:07:30,KRSD,10
UP_008,09:09:52,09:09:52,KMID,11
UP_008,09:12:15,09:12:15,KPRS,12
UP_008,09:14:37,09:14:37,KESP,13
UP_008,09:17:00,09:17:00,KCWC,14
UP_008,09:19:22,09:19:22,KCEN,15
UP_008,09:21:45,09:21:45,KMHR,16
UP_008,09:24:07,09:24:07,KGPK,17
UP_008,09:26:30,09:26:30,KSBN,18
UP_008,09:28:52,09:28:52,KSHY,19
UP_008,09:31:15,09:31:15,KBEL,20
UP_008,09:33:37,09:33:37,KDUM,21
UP_008,09:36:00,09:36:00,KNAP,22
UP_008,09:40:00,09:40:00,KBAR,23
UP_008,09:44:00,09:44:00,KDSW,24
UP_009,09:00:00,09:00:00,KSKD,1
UP_009,09:02:48,09:02:48,KKNZ,2
UP_009,09:05:36,09:05:36,KGTN,3
UP_009,09:08:24,09:08:24,KMSN,4
UP_009,09:11:12,09:11:12,KNTJ,5
UP_009,09:14:00,09:14:00,KMUK,6
UP_009,09:16:22,09:16:22,KRSB,7
UP_009,09:18:45,09:18:45,KKHG,8
UP_009,09:21:07,09:21:07,KJDP,9
UP_009,09:23:30,09:23:30,KRSD,10
UP_009,09:25:52,09:25:52,KMID,11
UP_009,09:28:15,09:28:15,KPRS,12
UP_009,09:30:37,09:30:37,KESP,13
UP_009,09:33:00,09:33:00,KCWC,14
UP_009,09:35:22,09:35:22,KCEN,15
UP_009,09:37:45,09:37:45,KMHR,16
UP_009,09:40:07,09:40:07,KGPK,17
UP_009,09:42:30,09:42:30,KSBN,18
UP_009,09:44:52,09:44:52,KSHY,19
UP_009,09:47:15,09:47:15,KBEL,20
UP_009,09:49:37,09:49:37,KDUM,21
UP_009,09:52:00,09:52:00,KNAP,22
UP_009,09:56:00,09:56:00,KBAR,23
UP_009,10:00:00,10:00:00,KDSW,24
UP_010,09:10:00,09:10:00,KSKD,1
UP_010,09:12:48,09:12:48,KKNZ,2
UP_010,09:15:36,09:15:36,KGTN,3
UP_010,09:18:24,09:18:24,KMSN,4
UP_010,09:21:12,09:21:12,KNTJ,5
UP_010,09:24:00,09:24:00,KMUK,6
UP_010,09:26:22,09:26:22,KRSB,7
UP_010,09:28:45,09:28:45,KKHG,8
UP_010,09:31:07,09:31:07,KJDP,9
UP_010,09:33:30,09:33:30,KRSD,10
UP_010,09:35:52,09:35:52,KMID,11
UP_010,09:38:15,09:38:15,KPRS,12
UP_010,09:40:37,09:40:37,KESP,13
UP_010,09:43:00,09:43:00,KCWC,14
UP_010,09:45:22,09:45:22,KCEN,15
UP_010,09:47:45,09:47:45,KMHR,16
UP_010,09:50:07,09:50:07,KGPK,17
UP_010,09:52:30,09:52:30,KSBN,18
UP_010,09:54:52,09:54:52,KSHY,19
UP_010,09:57:15,09:57:15,KBEL,20
UP_010,09:59:37,09:59:37,KDUM,21
UP_010,10:02:00,10:02:00,KNAP,22
UP_010,10:06:00,10:06:00,KBAR,23
UP_010,10:10:00,10:10:00,KDSW,24
UP_011,09:20:00,09:20:00,KSKD,1
UP_011,09:22:48,09:22:48,KKNZ,2
UP_011,09:25:36,09:25:36,KGTN,3
UP_011,09:28:24,09:28:24,KMSN,4
UP_011,09:31:12,09:31:12,KNTJ,5
UP_011,09:34:00,09:34:00,KMUK,6
UP_011,09:36:22,09:36:22,KRSB,7
UP_011,09:38:45,09:38:45,KKHG,8
UP_011,09:41:07,09:41:07,KJDP,9
UP_011,09:43:30,09:43:30,KRSD,10
UP_011,09:45:52,09:45:52,KMID,11
UP_011,09:48:15,09:48:15,KPRS,12
UP_011,09:50:37,09:50:37,KESP,13
UP_011,09:53:00,09:53:00,KCWC,14
UP_011,09:55:22,09:55:22,KCEN,15
UP_011,09:57:45,09:57:45,KMHR,16
UP_011,10:00:07,10:00:07,KGPK,17
UP_011,10:02:30,10:02:30,KSBN,18
UP_011,10:04:52,10:04:52,KSHY,19
UP_011,10:07:15,10:07:15,KBEL,20
UP_011,10:09:37,10:09:37,KDUM,21
UP_011,10:12:00,10:12:00,KNAP,22
UP_011,10:16:00,10:16:00,KBAR,23
UP_011,10:20:00,10:20:00,KDSW,24
UP_012,09:30:00,09:30:00,KSKD,1
UP_012,09:32:48,09:32:48,KKNZ,2
UP_012,09:35:36,09:35:36,KGTN,3
UP_012,09:38:24,09:38:24,KMSN,4
UP_012,09:41:12,09:41:12,KNTJ,5
UP_012,09:44:00,09:44:00,KMUK,6
UP_012,09:46:22,09:46:22,KRSB,7
UP_012,09:48:45,09:48:45,KKHG,8
UP_012,09:51:07,09:51:07,KJDP,9
UP_012,09:53:30,09:53:30,KRSD,10
UP_012,09:55:52,09:55:52,KMID,11
UP_012,09:58:15,09:58:15,KPRS,12
UP_012,10:00:37,10:00:37,KESP,13
UP_012,10:03:00,10:03:00,KCWC,14
UP_012,10:05:22,10:05:22,KCEN,15
UP_012,10:07:45,10:07:45,KMHR,16
UP_012,10:10:07,10:10:07,KGPK,17
UP_012,10:12:30,10:12:30,KSBN,18
UP_012,10:14:52,10:14:52,KSHY,19
UP_012,10:17:15,10:17:15,KBEL,20
UP_012,10:19:37,10:19:37,KDUM,21
UP_012,10:22:00,10:22:00,KNAP,22
UP_012,10:26:00,10:26:00,KBAR,23
UP_012,10:30:00,10:30:00,KDSW,24
UP_013,09:40:00,09:40:00,KSKD,1
UP_013,09:42:48,09:42:48,KKNZ,2
UP_013,09:45:36,09:45:36,KGTN,3
UP_013,09:48:24,09:48:24,KMSN,4
UP_013,09:51:12,09:51:12,KNTJ,5
UP_013,09:54:00,09:54:00,KMUK,6
UP_013,09:56:22,09:56:22,KRSB,7
UP_013,09:58:45,09:58:45,KKHG,8
UP_013,10:01:07,10:01:07,KJDP,9
UP_013,10:03:30,10:03:30,KRSD,10
UP_013,10:05:52,10:05:52,KMID,11
UP_013,10:08:15,10:08:15,KPRS,12
UP_013,10:10:37,10:10:37,KESP,13
UP_013,10:13:00,10:13:00,KCWC,14
UP_013,10:15:22,10:15:22,KCEN,15
UP_013,10:17:45,10:17:45,KMHR,16
UP_013,10:20:07,10:20:07,KGPK,17
UP_013,10:22:30,10:22:30,KSBN,18
UP_013,10:24:52,10:24:52,KSHY,19
UP_013,10:27:15,10:27:15,KBEL,20
UP_013,10:29:37,10:29:37,KDUM,21
UP_013,10:32:00,10:32:00,KNAP,22
UP_013,10:36:00,10:36:00,KBAR,23
UP_013,10:40:00,10:40:00,KDSW,24
UP_014,09:50:00,09:50:00,KSKD,1
UP_014,09:52:48,09:52:48,KKNZ,2
UP_014,09:55:36,09:55:36,KGTN,3
UP_014,09:58:24,09:58:24,KMSN,4
UP_014,10:01:12,10:01:12,KNTJ,5
UP_014,10:04:00,10:04:00,KMUK,6
UP_014,10:06:22,10:06:22,KRSB,7
UP_014,10:08:45,10:08:45,KKHG,8
UP_014,10:11:07,10:11:07,KJDP,9
UP_014,10:13:30,10:13:30,KRSD,10
UP_014,10:15:52,10:15:52,KMID,11
UP_014,10:18:15,10:18:15,KPRS,12
UP_014,10:20:37,10:20:37,KESP,13
UP_014,10:23:00,10:23:00,KCWC,14
UP_014,10:25:22,10:25:22,KCEN,15
UP_014,10:27:45,10:27:45,KMHR,16
UP_014,10:30:07,10:30:07,KGPK,17
UP_014,10:32:30,10:32:30,KSBN,18
UP_014,10:34:52,10:34:52,KSHY,19
UP_014,10:37:15,10:37:15,KBEL,20
UP_014,10:39:37,10:39:37,KDUM,21
UP_014,10:42:00,10:42:00,KNAP,22
UP_014,10:46:00,10:46:00,KBAR,23
UP_014,10:50:00,10:50:00,KDSW,24
UP_015,10:00:00,10:00:00,KSKD,1
UP_015,10:02:48,10:02:48,KKNZ,2
UP_015,10:05:36,10:05:36,KGTN,3
UP_015,10:08:24,10:08:24,KMSN,4
UP_015,10:11:12,10:11:12,KNTJ,5
UP_015,10:14:00,10:14:00,KMUK,6
