stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
KKVS,KKVS,KAVI SUBHASH,22.472261966344963, 88.3979046738016,0
KSKD,KSKD,SHAHID KHUDIRAM,22.466589634466665, 88.39285954909272,0
KKNZ,KKNZ,KAVI NAZRUL,22.464274316148067, 88.38094738847654,0
KGTN,KGTN,GITANJALI,22.46938029778781, 88.36995033148236,0
KMSN,KMSN,MATERDA SURYASEN,22.473397739755594, 88.36080877217944,0
KNTJ,KNTJ,NETAJI,22.481041690295218, 88.34564872349148,0
KMUK,KMUK,MAHANAYAK UTTAM KUMAR,22.494357770884395, 88.34408036046706,0
KRSB,KRSB,RABINDRA SAROBAR,22.50594101682487, 88.34471243760359,
KKHG,KKHG,KALIGHAT,22.51674418035522, 88.3467125521955,0
KJDP,KJDP,JATIN DAS PARK,22.524298230288416, 88.34587013924856,0
KRSD,KRSD,RABINDRA SADAN,22.541389547514108, 88.34652542210844,0
KMID,KMID,MAIDAN,22.549354630312024, 88.34785610552291,0
KPRS,KPRS,PARK STREET,22.554379240986645, 88.3493046973588,0
KESP,KESP,ESPLANADE,22.565068555428567, 88.35128373070091,0
KCWC,KCWC,CHANDNI CHOWK,22.56684131989758, 88.35341273490081,0
KCEN,KCEN,CENTRAL,22.572489167682026, 88.35791663922174,0
KMHR,KMHR,M.G. ROAD,22.58074742669143, 88.36073711477533,0
KGPK,KGPK,GIRISH PARK,22.587106704927198, 88.36256587476947,0
KSBN,KSBN,SOVABAZAR-SUTANUTI,22.596046098054675, 88.36489869134617,0
KSHY,KSHY,SHYAMBAZAR,22.600830171377275, 88.36970927083026,0
KBEL,KBEL,BELGACHIA,22.605929922950587, 88.38673678225011,0
KDUM,KDUM,DUM DUM,22.621495406781925, 88.39285162346832,0
KNAP,KNAP,NOAPARA,22.64007631920357, 88.39212693838323,0
KBAR,KBAR,BARANAGAR,22.653428353226673, 88.38264678773763,0
KDSW,KDSW,DAKSHINESHWAR,22.653921841319725, 88.3646901341226,0
